ACACIA_BOAT,0,""
ACACIA_BUTTON,0,""
ACACIA_DOOR,0,""
ACACIA_FENCE,0,""
ACACIA_FENCE_GATE,0,""
ACACIA_LEAVES,0,""
ACACIA_LOG,0,""
ACACIA_PLANKS,0,""
ACACIA_PRESSURE_PLATE,0,""
ACACIA_SAPLING,0,""
ACACIA_SLAB,0,""
ACACIA_STAIRS,0,""
ACACIA_TRAPDOOR,0,""
ACACIA_WOOD,0,""
ACTIVATOR_RAIL,0,""
AIR,0,""
ALLIUM,0,""
ANDESITE,0,""
ANVIL,0,""
APPLE,0,""
ARMOR_STAND,0,""
ARROW,0,""
ATTACHED_MELON_STEM,0,""
ATTACHED_PUMPKIN_STEM,0,""
AZURE_BLUET,0,""
BAKED_POTATO,0,""
BARRIER,0,""
BAT_SPAWN_EGG,0,""
BEACON,0,""
BEDROCK,0,""
BEEF,0,""
BEETROOT,0,""
BEETROOTS,0,""
BEETROOT_SEEDS,0,""
BEETROOT_SOUP,0,""
BIRCH_BOAT,0,""
BIRCH_BUTTON,0,""
BIRCH_DOOR,0,""
BIRCH_FENCE,0,""
BIRCH_FENCE_GATE,0,""
BIRCH_LEAVES,0,""
BIRCH_LOG,0,""
BIRCH_PLANKS,0,""
BIRCH_PRESSURE_PLATE,0,""
BIRCH_SAPLING,0,""
BIRCH_SLAB,0,""
BIRCH_STAIRS,0,""
BIRCH_TRAPDOOR,0,""
BIRCH_WOOD,0,""
BLACK_BANNER,0,""
BLACK_BED,0,""
BLACK_CARPET,0,""
BLACK_CONCRETE,0,""
BLACK_CONCRETE_POWDER,0,""
BLACK_GLAZED_TERRACOTTA,0,""
BLACK_SHULKER_BOX,0,""
BLACK_STAINED_GLASS,0,""
BLACK_STAINED_GLASS_PANE,0,""
BLACK_TERRACOTTA,0,""
BLACK_WALL_BANNER,0,""
BLACK_WOOL,0,""
BLAZE_POWDER,0,""
BLAZE_ROD,0,""
BLAZE_SPAWN_EGG,0,""
BLUE_BANNER,0,""
BLUE_BED,0,""
BLUE_CARPET,0,""
BLUE_CONCRETE,0,""
BLUE_CONCRETE_POWDER,0,""
BLUE_GLAZED_TERRACOTTA,0,""
BLUE_ICE,0,""
BLUE_ORCHID,0,""
BLUE_SHULKER_BOX,0,""
BLUE_STAINED_GLASS,0,""
BLUE_STAINED_GLASS_PANE,0,""
BLUE_TERRACOTTA,0,""
BLUE_WALL_BANNER,0,""
BLUE_WOOL,0,""
BONE,0,""
BONE_BLOCK,0,""
BONE_MEAL,0,""
BOOK,0,""
BOOKSHELF,0,""
BOW,0,""
BOWL,0,""
